Day	Month	Year	DoB	Full_name	Gender	Country	National_Party	National_Party_Abbreviation	European_Party_Group	European_Party_Group_Abbreviation
29	9	1936	29.09.36	Silvio Berlusconi	M	Italy	Forward Italy	FI	European People's Party	EPP
3	7	1940	03.07.40	Jerzy Karol Buzek	M	Poland	Civic Platform	PO	European People's Party	EPP
24	8	1971	24.08.71	Aileen McLeod	F	United Kingdom	Scottish National Party	SNP	Greens-European Free Alliance	Greens-EFA
18	5	1976	18.05.76	Abir Al-Sahlani	F	Sweden	Centre Party	C	Renew Europe	RE
13	8	1944	13.08.44	José Manuel García-Margallo y Marfil	M	Spain	People's Party	PP	European People's Party	EPP
		1968		Alexandra Geese	F	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
10	4	1945	10.04.45	Geoffrey Van Orden	M	United Kingdom	Conservative	Con	European Conservatives and Reformists Group	ECR
8	3	1975	08.03.75	Andreas Glück	M	Germany	Free Democratic Party	FDP	Renew Europe	RE
3	7	1946	03.07.46	Leszek Cezary Miller	M	Poland	Democratic Left Alliance	SLD	Progressive Alliance of Socialists and Democrats	SD
1	10	1956	01.10.56	Andrus Ansip	M	Estonia	Estonian Reform Party	RE	Renew Europe	RE
24	4	1947	24.04.47	Josep Borrell Fontelles	M	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
6	4	1987	06.04.87	Anna Júlia Donáth	F	Hungary	Momentum Movement	MM	Renew Europe	RE
4	10	1947	04.10.47	Ann Noreen Widdecombe	F	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
		1980		Anthony Hook	M	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
16	11	1947	16.11.47	Franco Roberti	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
3	2	1948	03.02.48	Gilbert Collard	M	France	National Rally	RN	Europe of Nations and Freedom	ID
28	2	1948	28.02.48	Alfred Sant	M	Malta	Labour Party	PL	Progressive Alliance of Socialists and Democrats	SD
8	4	1948	08.04.48	Danuta Maria Hübner	F	Poland	Civic Platform	PO	European People's Party	EPP
12	9	1948	12.09.48	Bogusław Marian Liberadzki	M	Poland	Democratic Left Alliance	SLD	Progressive Alliance of Socialists and Democrats	SD
19	9	1948	19.09.48	Jacek Saryusz-Wolski	M	Poland	Independent	Ind	European Conservatives and Reformists Group	ECR
8	1	1958	08.01.58	Asger Christensen	M	Denmark	Left	V	Renew Europe	RE
22	3	1949	22.03.49	Norbert Neuser	M	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
20	5	1949	20.05.49	Giuliano Pisapia	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
24	12	1949	24.12.49	Ryszard Antoni Legutko	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
17	3	1950	17.03.50	Patrizia Toia	F	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
26	3	1950	26.03.50	Joëlle Mélin	F	France	National Rally	RN	Europe of Nations and Freedom	ID
26	12	1983	26.12.83	Alexandra Phillips	F	United Kingdom	Green Party	Green	Greens-European Free Alliance	Greens-EFA
30	6	1950	30.06.50	Raffaele Stancanelli	M	Italy	Brothers of Italy	FdI	European Conservatives and Reformists Group	ECR
1	8	1950	01.08.50	Frances Fitzgerald	F	Ireland	Fine Gael	FG	European People's Party	EPP
13	9	1950	13.09.50	Włodzimierz Cimoszewicz	M	Poland	Independent	Ind	Progressive Alliance of Socialists and Democrats	SD
				Atije Alieva-Veli	F	Bulgaria	Movement for Rights and Freedoms	DPS	Renew Europe	RE
13	6	1951	13.06.51	Janusz Lewandowski	M	Poland	Civic Platform	PO	European People's Party	EPP
6	7	1951	06.07.51	Geert Bourgeois	M	Belgium	New Flemish Alliance	N-VA	European Conservatives and Reformists Group	ECR
16	2	1968	16.02.68	Adina-Ioana Vălean	F	Romania	National Liberal Party	PNL	European People's Party	EPP
